date,open,high,low,close,volume,average,barCount
2022-12-30 12:52:03-05:00,121.59,121.6,121.57,121.58,2800.0,121.585,9
2022-12-30 12:52:04-05:00,121.59,121.6,121.57,121.57,602.0,121.585,5
2022-12-30 12:52:05-05:00,121.57,121.57,121.57,121.57,0.0,121.57,0
2022-12-30 12:52:06-05:00,121.58,121.59,121.58,121.58,8700.0,121.583,6
2022-12-30 12:52:07-05:00,121.59,121.65,121.58,121.65,6846.0,121.63,18
2022-12-30 12:52:08-05:00,121.65,121.66,121.64,121.64,1883.0,121.645,9
2022-12-30 12:52:09-05:00,121.64,121.64,121.61,121.62,4343.0,121.626,20
2022-12-30 12:52:10-05:00,121.61,121.63,121.6,121.62,3074.0,121.611,10
2022-12-30 12:52:11-05:00,121.62,121.63,121.62,121.63,200.0,121.623,2
2022-12-30 12:52:12-05:00,121.62,121.63,121.62,121.63,2323.0,121.628,4
2022-12-30 12:52:13-05:00,121.64,121.65,121.64,121.65,400.0,121.647,4
2022-12-30 12:52:14-05:00,121.65,121.66,121.64,121.65,2370.0,121.653,7
2022-12-30 12:52:15-05:00,121.64,121.65,121.64,121.65,1450.0,121.643,5
2022-12-30 12:52:16-05:00,121.64,121.66,121.63,121.66,2300.0,121.642,15
2022-12-30 12:52:17-05:00,121.66,121.66,121.65,121.66,625.0,121.658,1
2022-12-30 12:52:18-05:00,121.65,121.66,121.65,121.65,1100.0,121.653,5
2022-12-30 12:52:19-05:00,121.66,121.66,121.63,121.64,1949.0,121.648,12
2022-12-30 12:52:20-05:00,121.65,121.65,121.64,121.65,149.0,121.648,1
2022-12-30 12:52:21-05:00,121.64,121.66,121.64,121.65,2500.0,121.648,6
2022-12-30 12:52:22-05:00,121.66,121.66,121.65,121.65,6200.0,121.654,3
2022-12-30 12:52:23-05:00,121.66,121.66,121.65,121.65,2235.0,121.655,4
2022-12-30 12:52:24-05:00,121.66,121.66,121.66,121.66,2500.0,121.66,1
2022-12-30 12:52:25-05:00,121.66,121.66,121.65,121.66,200.0,121.658,2
2022-12-30 12:52:26-05:00,121.67,121.67,121.66,121.67,1798.0,121.668,7
2022-12-30 12:52:27-05:00,121.67,121.68,121.67,121.68,377.0,121.673,2
2022-12-30 12:52:28-05:00,121.68,121.68,121.67,121.68,1880.0,121.68,8
2022-12-30 12:52:29-05:00,121.67,121.67,121.66,121.66,885.0,121.663,2
2022-12-30 12:52:30-05:00,121.67,121.67,121.65,121.65,1400.0,121.666,6
2022-12-30 12:52:31-05:00,121.66,121.66,121.65,121.66,500.0,121.659,1
2022-12-30 12:52:32-05:00,121.66,121.66,121.65,121.66,300.0,121.659,1
2022-12-30 12:52:33-05:00,121.66,121.66,121.65,121.66,0.0,121.66,0
2022-12-30 12:52:34-05:00,121.66,121.68,121.65,121.67,3586.0,121.664,11
2022-12-30 12:52:35-05:00,121.68,121.68,121.68,121.68,100.0,121.68,1
2022-12-30 12:52:36-05:00,121.69,121.69,121.68,121.68,1190.0,121.681,3
2022-12-30 12:52:37-05:00,121.69,121.69,121.68,121.68,1100.0,121.682,7
2022-12-30 12:52:38-05:00,121.65,121.65,121.61,121.63,7841.0,121.644,20
2022-12-30 12:52:39-05:00,121.63,121.63,121.61,121.62,750.0,121.62,4
2022-12-30 12:52:40-05:00,121.63,121.63,121.62,121.62,590.0,121.628,5
2022-12-30 12:52:41-05:00,121.61,121.62,121.61,121.61,2351.0,121.614,6
2022-12-30 12:52:42-05:00,121.6,121.62,121.6,121.62,400.0,121.608,3
2022-12-30 12:52:43-05:00,121.63,121.64,121.63,121.63,2500.0,121.632,2
2022-12-30 12:52:44-05:00,121.64,121.68,121.63,121.67,900.0,121.66,3
2022-12-30 12:52:45-05:00,121.66,121.66,121.64,121.65,1400.0,121.658,4
2022-12-30 12:52:46-05:00,121.66,121.66,121.65,121.66,777.0,121.655,1
2022-12-30 12:52:47-05:00,121.66,121.66,121.65,121.66,500.0,121.655,1
2022-12-30 12:52:48-05:00,121.66,121.66,121.65,121.66,100.0,121.656,1
2022-12-30 12:52:49-05:00,121.66,121.66,121.65,121.66,300.0,121.655,1
2022-12-30 12:52:50-05:00,121.65,121.65,121.65,121.65,299.0,121.65,1
2022-12-30 12:52:51-05:00,121.65,121.66,121.65,121.66,439.0,121.652,2
2022-12-30 12:52:52-05:00,121.65,121.65,121.62,121.63,2800.0,121.63,8
2022-12-30 12:52:53-05:00,121.62,121.63,121.62,121.63,200.0,121.623,2
2022-12-30 12:52:54-05:00,121.62,121.62,121.6,121.6,22653.0,121.6,19
2022-12-30 12:52:55-05:00,121.6,121.61,121.6,121.61,2700.0,121.601,3
2022-12-30 12:52:56-05:00,121.61,121.62,121.61,121.62,5700.0,121.611,5
2022-12-30 12:52:57-05:00,121.64,121.64,121.63,121.63,1451.0,121.637,6
2022-12-30 12:52:58-05:00,121.64,121.64,121.63,121.64,1204.0,121.64,3
2022-12-30 12:52:59-05:00,121.64,121.64,121.63,121.64,3100.0,121.64,3
2022-12-30 12:53:00-05:00,121.65,121.65,121.63,121.65,1258.0,121.643,8
2022-12-30 12:53:01-05:00,121.65,121.65,121.64,121.65,983.0,121.65,7
2022-12-30 12:53:02-05:00,121.65,121.66,121.65,121.65,1370.0,121.654,7
2022-12-30 12:53:03-05:00,121.64,121.64,121.63,121.63,393.0,121.634,3
2022-12-30 12:53:04-05:00,121.64,121.65,121.63,121.63,498.0,121.639,3
2022-12-30 12:53:05-05:00,121.65,121.66,121.64,121.64,1197.0,121.644,5
2022-12-30 12:53:06-05:00,121.62,121.62,121.6,121.62,8807.0,121.602,5
2022-12-30 12:53:07-05:00,121.61,121.61,121.61,121.61,300.0,121.61,1
2022-12-30 12:53:08-05:00,121.63,121.65,121.62,121.65,1452.0,121.637,6
2022-12-30 12:53:09-05:00,121.65,121.65,121.64,121.65,500.0,121.646,4
2022-12-30 12:53:10-05:00,121.65,121.66,121.65,121.66,948.0,121.659,2
2022-12-30 12:53:11-05:00,121.65,121.65,121.64,121.65,1500.0,121.647,3
2022-12-30 12:53:12-05:00,121.63,121.64,121.62,121.63,3090.0,121.631,10
2022-12-30 12:53:13-05:00,121.62,121.63,121.62,121.62,998.0,121.623,3
2022-12-30 12:53:14-05:00,121.64,121.64,121.59,121.59,1900.0,121.608,10
